"HIOKI PW3365(Ver2.10)",S/N.170104446
"FOLDER",22092900
"WIRING",3P4W
"OPERATION",RMS
"FREQUENCY",50Hz
"THD",THD-F
"INTERVAL",5min
"U RANGE",400V
"U SENSOR",PW9020
"I RANGE",500A
"I SENSOR",9661(500A)
"VT(PT)",1
"CT",1
"ENERGY COST",0000.00,

2022-09-29 16:35:00,START
Date,Etime,Status,Freq_Avg[Hz],U1_Avg[V],Ufnd1_Avg[V],Udeg1_Avg[deg],U2_Avg[V],Ufnd2_Avg[V],Udeg2_Avg[deg],U3_Avg[V],Ufnd3_Avg[V],Udeg3_Avg[deg],I1_Avg[A],Ifnd1_Avg[A],Ideg1_Avg[deg],I2_Avg[A],Ifnd2_Avg[A],Ideg2_Avg[deg],I3_Avg[A],Ifnd3_Avg[A],Ideg3_Avg[deg],P1_Avg[W],P2_Avg[W],P3_Avg[W],P_Avg[W],S1_Avg[VA],S2_Avg[VA],S3_Avg[VA],S_Avg[VA],Q1_Avg[var],Q2_Avg[var],Q3_Avg[var],Q_Avg[var],PF1_Avg,PF2_Avg,PF3_Avg,PF_Avg,WP+[Wh],WP-[Wh],WQLAG[varh],WQLEAD[varh],Ecost,WP+dem[Wh],WP-dem[Wh],WQLAGdem[varh],WQLEADdem[varh],Pdem+[W],Pdem-[W],QdemLAG[var],QdemLEAD[var],PFdem
2022-09-29 16:35:00 
2022-09-29 16:40:00,0000:05:00,00000000,49.99E+00,227.8E+00,227.7E+00,0.0E+00,217.2E+00,217.1E+00,-117.8E+00,237.4E+00,237.4E+00,120.5E+00,3.42E+00,3.39E+00,-49.1E+00,3.51E+00,3.45E+00,-146.7E+00,0.00E+00,0.00E+00,-2.3E+00,0.50E+03,0.65E+03,0.00E+03,1.16E+03,0.78E+03,0.76E+03,0.00E+03,1.54E+03,0.59E+03,0.39E+03,0.00E+03,1.01E+03,0.647E+00,0.861E+00,0.000E+99,0.753E+00,0.097E+03,0.000E+03,0.084E+03,0.000E+03,0.00000E+00,0.097E+03,0.000E+03,0.084E+03,0.000E+03,1.16E+03,0.00E+03,1.01E+03,0.00E+03,0.755E+00
2022-09-29 16:45:00,0000:10:00,00000000,49.98E+00,227.9E+00,227.9E+00,0.0E+00,217.4E+00,217.3E+00,-117.7E+00,237.4E+00,237.4E+00,120.5E+00,0.00E+00,0.00E+00,-2.3E+00,3.36E+00,3.33E+00,-146.5E+00,0.00E+00,0.00E+00,-2.3E+00,0.00E+03,0.63E+03,0.00E+03,0.63E+03,0.00E+03,0.73E+03,0.00E+03,0.73E+03,0.00E+03,0.36E+03,0.00E+03,0.36E+03,0.000E+99,0.866E+00,0.000E+99,0.866E+00,0.149E+03,0.000E+03,0.114E+03,0.000E+03,0.00000E+00,0.053E+03,0.000E+03,0.030E+03,0.000E+03,0.63E+03,0.00E+03,0.36E+03,0.00E+03,0.868E+00
2022-09-29 16:50:00,0000:15:00,00000000,49.99E+00,227.4E+00,227.4E+00,0.0E+00,217.4E+00,217.4E+00,-117.7E+00,237.5E+00,237.5E+00,120.5E+00,4.48E+00,4.44E+00,-46.6E+00,0.00E+00,0.00E+00,-2.3E+00,0.00E+00,0.00E+00,-2.3E+00,0.69E+03,0.00E+03,0.00E+03,0.69E+03,1.02E+03,0.00E+03,0.00E+03,1.02E+03,0.75E+03,0.00E+03,0.00E+03,0.75E+03,0.679E+00,0.000E+99,0.000E+99,0.679E+00,0.207E+03,0.000E+03,0.176E+03,0.000E+03,0.00000E+00,0.058E+03,0.000E+03,0.062E+03,0.000E+03,0.69E+03,0.00E+03,0.75E+03,0.00E+03,0.680E+00
2022-09-29 16:55:00,0000:20:00,00000000,49.99E+00,227.3E+00,227.3E+00,0.0E+00,217.1E+00,217.1E+00,-117.7E+00,237.3E+00,237.3E+00,120.4E+00,5.46E+00,5.42E+00,-49.5E+00,3.37E+00,3.35E+00,-146.9E+00,0.00E+00,0.00E+00,-2.3E+00,0.80E+03,0.63E+03,0.00E+03,1.43E+03,1.24E+03,0.73E+03,0.00E+03,1.97E+03,0.95E+03,0.37E+03,0.00E+03,1.34E+03,0.644E+00,0.865E+00,0.000E+99,0.726E+00,0.326E+03,0.000E+03,0.288E+03,0.000E+03,0.00000E+00,0.119E+03,0.000E+03,0.112E+03,0.000E+03,1.43E+03,0.00E+03,1.34E+03,0.00E+03,0.729E+00
2022-09-29 17:00:00,0000:25:00,00000000,50.01E+00,227.6E+00,227.6E+00,0.0E+00,217.4E+00,217.4E+00,-117.6E+00,237.4E+00,237.4E+00,120.5E+00,0.67E+00,0.67E+00,-50.3E+00,0.50E+00,0.49E+00,-148.6E+00,0.00E+00,0.00E+00,-2.4E+00,0.10E+03,0.09E+03,0.00E+03,0.19E+03,0.15E+03,0.11E+03,0.00E+03,0.26E+03,0.12E+03,0.06E+03,0.00E+03,0.18E+03,0.631E+00,0.840E+00,0.000E+99,0.718E+00,0.342E+03,0.000E+03,0.303E+03,0.000E+03,0.00000E+00,0.016E+03,0.000E+03,0.015E+03,0.000E+03,0.19E+03,0.00E+03,0.18E+03,0.00E+03,0.728E+00
2022-09-29 17:05:00,0000:30:00,00000000,50.01E+00,227.7E+00,227.7E+00,0.0E+00,217.5E+00,217.5E+00,-117.6E+00,237.4E+00,237.4E+00,120.5E+00,0.80E+00,0.79E+00,-51.0E+00,2.61E+00,2.59E+00,-149.7E+00,1.35E+00,1.28E+00,72.8E+00,0.11E+03,0.48E+03,0.20E+03,0.79E+03,0.18E+03,0.57E+03,0.32E+03,1.07E+03,0.14E+03,0.31E+03,0.25E+03,0.70E+03,0.621E+00,0.840E+00,0.635E+00,0.741E+00,0.408E+03,0.000E+03,0.361E+03,0.000E+03,0.00000E+00,0.066E+03,0.000E+03,0.058E+03,0.000E+03,0.79E+03,0.00E+03,0.70E+03,0.00E+03,0.750E+00
2022-09-29 17:10:00,0000:35:00,00000000,50.01E+00,227.6E+00,227.6E+00,0.0E+00,217.7E+00,217.7E+00,-117.6E+00,237.9E+00,237.9E+00,120.4E+00,4.91E+00,4.87E+00,-58.1E+00,2.97E+00,2.95E+00,-151.3E+00,0.03E+00,0.03E+00,63.5E+00,0.58E+03,0.53E+03,0.00E+03,1.12E+03,1.12E+03,0.65E+03,0.01E+03,1.77E+03,0.95E+03,0.37E+03,0.01E+03,1.36E+03,0.523E+00,0.823E+00,0.479E+00,0.632E+00,0.501E+03,0.000E+03,0.475E+03,0.000E+03,0.00000E+00,0.093E+03,0.000E+03,0.113E+03,0.000E+03,1.12E+03,0.00E+03,1.36E+03,0.00E+03,0.635E+00
2022-09-29 17:15:00,0000:40:00,00000000,50.01E+00,227.8E+00,227.8E+00,0.0E+00,218.0E+00,218.0E+00,-117.6E+00,237.9E+00,237.9E+00,120.4E+00,1.86E+00,1.85E+00,-58.8E+00,0.00E+00,0.00E+00,-2.4E+00,0.01E+00,0.01E+00,116.2E+00,0.22E+03,0.00E+03,0.00E+03,0.22E+03,0.42E+03,0.00E+03,0.00E+03,0.43E+03,0.36E+03,0.00E+03,0.00E+03,0.36E+03,0.512E+00,0.000E+99,0.947E+00,0.514E+00,0.519E+03,0.000E+03,0.505E+03,-0.000E+03,0.00000E+00,0.018E+03,0.000E+03,0.030E+03,-0.000E+03,0.22E+03,0.00E+03,0.36E+03,-0.00E+03,0.516E+00
2022-09-29 17:20:00,0000:45:00,00000000,50.01E+00,228.2E+00,228.2E+00,0.0E+00,218.0E+00,218.0E+00,-117.6E+00,237.9E+00,237.9E+00,120.3E+00,0.00E+00,0.00E+00,-2.4E+00,3.23E+00,3.20E+00,-149.0E+00,0.00E+00,0.00E+00,-2.4E+00,0.00E+03,0.59E+03,0.00E+03,0.59E+03,0.00E+03,0.70E+03,0.00E+03,0.70E+03,0.00E+03,0.38E+03,0.00E+03,0.38E+03,0.000E+99,0.843E+00,0.000E+99,0.843E+00,0.569E+03,0.000E+03,0.536E+03,-0.000E+03,0.00000E+00,0.049E+03,0.000E+03,0.031E+03,0.000E+03,0.59E+03,0.00E+03,0.38E+03,0.00E+03,0.844E+00
2022-09-29 17:25:00,0000:50:00,00000000,50.02E+00,227.8E+00,227.8E+00,0.0E+00,218.0E+00,218.0E+00,-117.7E+00,238.4E+00,238.3E+00,120.4E+00,4.54E+00,4.50E+00,-53.4E+00,0.54E+00,0.53E+00,-148.2E+00,0.00E+00,0.00E+00,-2.4E+00,0.61E+03,0.10E+03,0.00E+03,0.71E+03,1.03E+03,0.12E+03,0.00E+03,1.15E+03,0.83E+03,0.06E+03,0.00E+03,0.90E+03,0.590E+00,0.842E+00,0.000E+99,0.616E+00,0.628E+03,0.000E+03,0.611E+03,-0.000E+03,0.00000E+00,0.059E+03,0.000E+03,0.075E+03,0.000E+03,0.71E+03,0.00E+03,0.90E+03,0.00E+03,0.618E+00
2022-09-29 17:30:00,0000:55:00,00000000,50.02E+00,228.3E+00,228.2E+00,0.0E+00,217.8E+00,217.8E+00,-117.6E+00,238.7E+00,238.7E+00,120.5E+00,1.58E+00,1.56E+00,-52.1E+00,2.75E+00,2.73E+00,-148.6E+00,0.00E+00,0.00E+00,-2.4E+00,0.22E+03,0.51E+03,0.00E+03,0.73E+03,0.36E+03,0.60E+03,0.00E+03,0.96E+03,0.28E+03,0.31E+03,0.00E+03,0.62E+03,0.609E+00,0.852E+00,0.000E+99,0.761E+00,0.688E+03,0.000E+03,0.663E+03,-0.000E+03,0.00000E+00,0.061E+03,0.000E+03,0.052E+03,0.000E+03,0.73E+03,0.00E+03,0.62E+03,0.00E+03,0.761E+00
2022-09-29 17:35:00,0001:00:00,00000000,50.00E+00,228.7E+00,228.7E+00,0.0E+00,218.2E+00,218.2E+00,-117.5E+00,239.3E+00,239.3E+00,120.5E+00,0.20E+00,0.20E+00,-45.5E+00,3.20E+00,3.18E+00,-147.9E+00,0.00E+00,0.00E+00,-2.3E+00,0.03E+03,0.60E+03,0.00E+03,0.63E+03,0.05E+03,0.70E+03,0.00E+03,0.74E+03,0.03E+03,0.36E+03,0.00E+03,0.40E+03,0.685E+00,0.854E+00,0.000E+99,0.844E+00,0.741E+03,0.000E+03,0.696E+03,-0.000E+03,0.00000E+00,0.052E+03,0.000E+03,0.033E+03,0.000E+03,0.63E+03,0.00E+03,0.40E+03,0.00E+03,0.846E+00
2022-09-29 17:40:00,0001:05:00,00000000,49.99E+00,228.2E+00,228.2E+00,0.0E+00,218.5E+00,218.4E+00,-117.5E+00,239.4E+00,239.4E+00,120.4E+00,5.50E+00,5.46E+00,-50.5E+00,0.17E+00,0.17E+00,-154.6E+00,0.00E+00,0.00E+00,-2.3E+00,0.79E+03,0.03E+03,0.00E+03,0.82E+03,1.25E+03,0.04E+03,0.00E+03,1.29E+03,0.97E+03,0.02E+03,0.00E+03,1.00E+03,0.631E+00,0.784E+00,0.000E+99,0.635E+00,0.809E+03,0.000E+03,0.779E+03,-0.000E+03,0.00000E+00,0.068E+03,0.000E+03,0.083E+03,0.000E+03,0.82E+03,0.00E+03,1.00E+03,0.00E+03,0.636E+00
2022-09-29 17:45:00,0001:10:00,00000000,50.00E+00,228.6E+00,228.6E+00,0.0E+00,218.4E+00,218.4E+00,-117.4E+00,239.2E+00,239.2E+00,120.3E+00,0.64E+00,0.63E+00,-52.4E+00,3.35E+00,3.33E+00,-148.9E+00,0.00E+00,0.00E+00,-2.3E+00,0.09E+03,0.62E+03,0.00E+03,0.70E+03,0.15E+03,0.73E+03,0.00E+03,0.88E+03,0.12E+03,0.39E+03,0.00E+03,0.50E+03,0.606E+00,0.845E+00,0.000E+99,0.805E+00,0.868E+03,0.000E+03,0.821E+03,-0.000E+03,0.00000E+00,0.059E+03,0.000E+03,0.042E+03,0.000E+03,0.70E+03,0.00E+03,0.50E+03,0.00E+03,0.813E+00
2022-09-29 17:50:00,0001:15:00,00000000,50.00E+00,228.8E+00,228.7E+00,0.0E+00,219.0E+00,219.0E+00,-117.5E+00,239.5E+00,239.5E+00,120.3E+00,1.39E+00,1.37E+00,-45.3E+00,0.06E+00,0.06E+00,-139.1E+00,0.00E+00,0.00E+00,-2.4E+00,0.22E+03,0.01E+03,0.00E+03,0.23E+03,0.32E+03,0.01E+03,0.00E+03,0.33E+03,0.23E+03,0.01E+03,0.00E+03,0.24E+03,0.695E+00,0.738E+00,0.000E+99,0.697E+00,0.887E+03,0.000E+03,0.841E+03,-0.000E+03,0.00000E+00,0.019E+03,0.000E+03,0.020E+03,0.000E+03,0.23E+03,0.00E+03,0.24E+03,0.00E+03,0.698E+00
2022-09-29 17:55:00,0001:20:00,00000000,50.00E+00,228.9E+00,228.9E+00,0.0E+00,218.9E+00,218.8E+00,-117.7E+00,239.6E+00,239.6E+00,120.3E+00,5.29E+00,5.26E+00,-48.3E+00,3.39E+00,3.37E+00,-148.2E+00,0.00E+00,0.00E+00,-2.4E+00,0.80E+03,0.63E+03,0.00E+03,1.43E+03,1.21E+03,0.74E+03,0.00E+03,1.95E+03,0.91E+03,0.38E+03,0.00E+03,1.31E+03,0.661E+00,0.856E+00,0.000E+99,0.735E+00,1.006E+03,0.000E+03,0.950E+03,-0.000E+03,0.00000E+00,0.119E+03,0.000E+03,0.109E+03,0.000E+03,1.43E+03,0.00E+03,1.31E+03,0.00E+03,0.738E+00
2022-09-29 18:00:00,0001:25:00,00000000,50.00E+00,229.3E+00,229.3E+00,0.0E+00,219.0E+00,219.0E+00,-117.7E+00,239.5E+00,239.5E+00,120.3E+00,0.00E+00,0.00E+00,-2.4E+00,5.79E+00,5.79E+00,-118.3E+00,1.19E+00,1.15E+00,97.2E+00,0.00E+03,1.27E+03,0.25E+03,1.52E+03,0.00E+03,1.27E+03,0.29E+03,1.55E+03,0.00E+03,0.05E+03,0.13E+03,0.25E+03,0.000E+99,0.999E+00,0.882E+00,0.977E+00,1.133E+03,0.000E+03,0.971E+03,-0.000E+03,0.00000E+00,0.127E+03,0.000E+03,0.021E+03,0.000E+03,1.52E+03,0.00E+03,0.25E+03,0.00E+03,0.987E+00
