"HIOKI PW3365(Ver2.10)",S/N.170104446
"FOLDER",22070500
"WIRING",3P4W
"OPERATION",RMS
"FREQUENCY",50Hz
"THD",THD-F
"INTERVAL",5min
"U RANGE",400V
"U SENSOR",PW9020
"I RANGE",500A
"I SENSOR",9661(500A)
"VT(PT)",1
"CT",1
"ENERGY COST",0000.00,

2022-07-08 00:00:00,START
Date,Etime,Status,Freq_Avg[Hz],U1_Avg[V],Ufnd1_Avg[V],Udeg1_Avg[deg],U2_Avg[V],Ufnd2_Avg[V],Udeg2_Avg[deg],U3_Avg[V],Ufnd3_Avg[V],Udeg3_Avg[deg],I1_Avg[A],Ifnd1_Avg[A],Ideg1_Avg[deg],I2_Avg[A],Ifnd2_Avg[A],Ideg2_Avg[deg],I3_Avg[A],Ifnd3_Avg[A],Ideg3_Avg[deg],P1_Avg[W],P2_Avg[W],P3_Avg[W],P_Avg[W],S1_Avg[VA],S2_Avg[VA],S3_Avg[VA],S_Avg[VA],Q1_Avg[var],Q2_Avg[var],Q3_Avg[var],Q_Avg[var],PF1_Avg,PF2_Avg,PF3_Avg,PF_Avg,WP+[Wh],WP-[Wh],WQLAG[varh],WQLEAD[varh],Ecost,WP+dem[Wh],WP-dem[Wh],WQLAGdem[varh],WQLEADdem[varh],Pdem+[W],Pdem-[W],QdemLAG[var],QdemLEAD[var],PFdem
2022-07-08 00:00:00
2022-07-08 00:05:00,0000:05:00,00000000,50.02E+00,236.5E+00,236.4E+00,0.0E+00,225.9E+00,225.8E+00,-118.7E+00,242.5E+00,242.5E+00,120.9E+00,0.00E+00,0.00E+00,-2.5E+00,13.05E+00,12.97E+00,-121.5E+00,1.65E+00,1.62E+00,92.6E+00,0.00E+03,2.92E+03,0.35E+03,3.27E+03,0.00E+03,2.95E+03,0.40E+03,3.35E+03,0.00E+03,0.37E+03,0.20E+03,0.69E+03,0.000E+99,0.992E+00,0.866E+00,0.977E+00,0.272E+03,0.000E+03,0.057E+03,0.000E+03,0.00000E+00,0.272E+03,0.000E+03,0.057E+03,0.000E+03,3.27E+03,0.00E+03,0.69E+03,0.00E+03,0.979E+00
2022-07-08 00:10:00,0000:10:00,00000000,50.01E+00,236.3E+00,236.3E+00,0.0E+00,226.4E+00,226.4E+00,-118.6E+00,242.3E+00,242.3E+00,120.9E+00,0.00E+00,0.00E+00,-2.5E+00,7.63E+00,7.42E+00,-123.6E+00,1.61E+00,1.59E+00,87.4E+00,0.00E+03,1.67E+03,0.32E+03,1.99E+03,0.00E+03,1.73E+03,0.39E+03,2.12E+03,0.00E+03,0.37E+03,0.22E+03,0.68E+03,0.000E+99,0.965E+00,0.823E+00,0.939E+00,0.438E+03,0.000E+03,0.114E+03,0.000E+03,0.00000E+00,0.166E+03,0.000E+03,0.057E+03,0.000E+03,1.99E+03,0.00E+03,0.68E+03,0.00E+03,0.946E+00
2022-07-08 00:15:00,0000:15:00,00000000,50.02E+00,236.2E+00,236.1E+00,0.0E+00,226.6E+00,226.5E+00,-118.5E+00,242.3E+00,242.3E+00,120.9E+00,0.00E+00,0.00E+00,-2.5E+00,4.19E+00,3.90E+00,-132.4E+00,2.05E+00,1.91E+00,147.9E+00,0.00E+03,0.86E+03,0.41E+03,1.26E+03,0.00E+03,0.95E+03,0.50E+03,1.44E+03,0.00E+03,0.41E+03,-0.27E+03,-0.26E+03,0.000E+99,0.903E+00,-0.821E+00,0.875E+00,0.543E+03,0.000E+03,0.132E+03,-0.040E+03,0.00000E+00,0.105E+03,0.000E+03,0.018E+03,-0.040E+03,1.26E+03,0.00E+03,0.22E+03,-0.48E+03,0.986E+00
2022-07-08 00:20:00,0000:20:00,00000000,50.04E+00,236.3E+00,236.2E+00,0.0E+00,226.4E+00,226.4E+00,-118.6E+00,242.3E+00,242.3E+00,120.9E+00,0.00E+00,0.00E+00,-2.5E+00,4.22E+00,3.93E+00,-132.2E+00,0.52E+00,0.49E+00,134.8E+00,0.00E+03,0.86E+03,0.12E+03,0.98E+03,0.00E+03,0.96E+03,0.13E+03,1.08E+03,0.00E+03,0.41E+03,-0.05E+03,0.46E+03,0.000E+99,0.904E+00,-0.910E+00,0.905E+00,0.625E+03,0.000E+03,0.171E+03,-0.040E+03,0.00000E+00,0.082E+03,0.000E+03,0.038E+03,0.000E+03,0.98E+03,0.00E+03,0.46E+03,0.00E+03,0.905E+00
2022-07-08 00:25:00,0000:25:00,00000000,49.98E+00,235.6E+00,235.6E+00,0.0E+00,226.0E+00,225.9E+00,-118.6E+00,242.1E+00,242.0E+00,120.9E+00,2.36E+00,2.35E+00,-43.5E+00,4.16E+00,3.88E+00,-132.0E+00,0.00E+00,0.00E+00,-2.4E+00,0.40E+03,0.85E+03,0.00E+03,1.25E+03,0.55E+03,0.94E+03,0.00E+03,1.49E+03,0.39E+03,0.40E+03,0.00E+03,0.80E+03,0.719E+00,0.906E+00,0.000E+99,0.837E+00,0.729E+03,0.000E+03,0.237E+03,-0.040E+03,0.00000E+00,0.104E+03,0.000E+03,0.067E+03,0.000E+03,1.25E+03,0.00E+03,0.80E+03,0.00E+03,0.842E+00
2022-07-08 00:30:00,0000:30:00,00000000,49.99E+00,233.5E+00,233.4E+00,0.0E+00,224.1E+00,224.0E+00,-118.6E+00,240.1E+00,240.1E+00,120.9E+00,5.44E+00,5.41E+00,-45.0E+00,4.18E+00,3.90E+00,-132.0E+00,1.63E+00,1.53E+00,134.5E+00,0.89E+03,0.85E+03,0.36E+03,2.10E+03,1.27E+03,0.94E+03,0.39E+03,2.60E+03,0.90E+03,0.40E+03,-0.16E+03,1.53E+03,0.703E+00,0.906E+00,-0.912E+00,0.808E+00,0.904E+03,0.000E+03,0.365E+03,-0.040E+03,0.00000E+00,0.175E+03,0.000E+03,0.127E+03,0.000E+03,2.10E+03,0.00E+03,1.53E+03,0.00E+03,0.809E+00
2022-07-08 00:35:00,0000:35:00,00000000,49.99E+00,232.6E+00,232.5E+00,0.0E+00,223.0E+00,222.9E+00,-118.6E+00,238.5E+00,238.5E+00,120.8E+00,0.00E+00,0.00E+00,-2.4E+00,4.19E+00,3.91E+00,-131.9E+00,0.94E+00,0.88E+00,134.4E+00,0.00E+03,0.85E+03,0.20E+03,1.05E+03,0.00E+03,0.93E+03,0.22E+03,1.16E+03,0.00E+03,0.39E+03,-0.09E+03,0.49E+03,0.000E+99,0.906E+00,-0.911E+00,0.907E+00,0.991E+03,0.000E+03,0.405E+03,-0.040E+03,0.00000E+00,0.088E+03,0.000E+03,0.041E+03,0.000E+03,1.05E+03,0.00E+03,0.49E+03,0.00E+03,0.907E+00
2022-07-08 00:40:00,0000:40:00,00000000,50.00E+00,232.4E+00,232.4E+00,0.0E+00,222.9E+00,222.8E+00,-118.7E+00,238.5E+00,238.5E+00,120.8E+00,0.00E+00,0.00E+00,-2.4E+00,4.19E+00,3.91E+00,-131.9E+00,0.00E+00,0.00E+00,-2.4E+00,0.00E+03,0.85E+03,0.00E+03,0.85E+03,0.00E+03,0.93E+03,0.00E+03,0.93E+03,0.00E+03,0.39E+03,0.00E+03,0.39E+03,0.000E+99,0.907E+00,0.000E+99,0.907E+00,1.062E+03,0.000E+03,0.438E+03,-0.040E+03,0.00000E+00,0.071E+03,0.000E+03,0.033E+03,0.000E+03,0.85E+03,0.00E+03,0.39E+03,0.00E+03,0.907E+00
2022-07-08 00:45:00,0000:45:00,00000000,50.01E+00,232.1E+00,232.1E+00,0.0E+00,222.8E+00,222.7E+00,-118.6E+00,238.5E+00,238.5E+00,120.8E+00,2.83E+00,2.82E+00,-43.0E+00,4.83E+00,4.55E+00,-133.7E+00,1.44E+00,1.36E+00,134.3E+00,0.48E+03,0.97E+03,0.31E+03,1.76E+03,0.66E+03,1.08E+03,0.34E+03,2.08E+03,0.45E+03,0.45E+03,-0.14E+03,1.08E+03,0.726E+00,0.905E+00,-0.914E+00,0.850E+00,1.209E+03,0.000E+03,0.528E+03,-0.040E+03,0.00000E+00,0.147E+03,0.000E+03,0.090E+03,0.000E+03,1.76E+03,0.00E+03,1.08E+03,0.00E+03,0.852E+00
2022-07-08 00:50:00,0000:50:00,00000000,49.98E+00,232.3E+00,232.2E+00,0.0E+00,222.2E+00,222.2E+00,-118.7E+00,238.6E+00,238.6E+00,120.8E+00,4.45E+00,4.42E+00,-45.3E+00,11.62E+00,11.42E+00,-142.2E+00,0.57E+00,0.54E+00,134.8E+00,0.72E+03,2.33E+03,0.12E+03,3.17E+03,1.03E+03,2.58E+03,0.14E+03,3.75E+03,0.74E+03,1.12E+03,-0.06E+03,2.00E+03,0.699E+00,0.900E+00,-0.909E+00,0.845E+00,1.474E+03,0.000E+03,0.695E+03,-0.040E+03,0.00000E+00,0.264E+03,0.000E+03,0.166E+03,0.000E+03,3.17E+03,0.00E+03,2.00E+03,0.00E+03,0.846E+00
2022-07-08 00:55:00,0000:55:00,00000000,50.01E+00,232.6E+00,232.6E+00,0.0E+00,222.7E+00,222.6E+00,-118.6E+00,238.7E+00,238.6E+00,120.8E+00,0.00E+00,0.00E+00,-2.5E+00,11.11E+00,10.90E+00,-143.5E+00,0.61E+00,0.59E+00,126.2E+00,0.00E+03,2.20E+03,0.14E+03,2.34E+03,0.00E+03,2.47E+03,0.15E+03,2.62E+03,0.00E+03,1.13E+03,-0.05E+03,1.18E+03,0.000E+99,0.889E+00,-0.949E+00,0.892E+00,1.668E+03,0.000E+03,0.793E+03,-0.040E+03,0.00000E+00,0.195E+03,0.000E+03,0.098E+03,0.000E+03,2.34E+03,0.00E+03,1.18E+03,0.00E+03,0.893E+00
2022-07-08 01:00:00,0001:00:00,00000000,49.99E+00,232.7E+00,232.6E+00,0.0E+00,223.0E+00,223.0E+00,-118.5E+00,238.5E+00,238.4E+00,120.8E+00,0.00E+00,0.00E+00,-2.4E+00,8.96E+00,8.68E+00,-154.6E+00,2.12E+00,2.00E+00,126.5E+00,0.00E+03,1.54E+03,0.47E+03,2.02E+03,0.00E+03,2.00E+03,0.51E+03,2.50E+03,0.00E+03,1.23E+03,-0.17E+03,1.45E+03,0.000E+99,0.773E+00,-0.938E+00,0.806E+00,1.837E+03,0.000E+03,0.914E+03,-0.040E+03,0.00000E+00,0.168E+03,0.000E+03,0.121E+03,0.000E+03,2.02E+03,0.00E+03,1.45E+03,0.00E+03,0.812E+00
2022-07-08 01:05:00,0001:05:00,00000000,50.00E+00,232.7E+00,232.7E+00,0.0E+00,223.0E+00,223.0E+00,-118.5E+00,238.8E+00,238.8E+00,120.9E+00,1.45E+00,1.44E+00,-42.2E+00,8.46E+00,8.17E+00,-157.8E+00,0.00E+00,0.00E+00,-2.4E+00,0.25E+03,1.39E+03,0.00E+03,1.64E+03,0.34E+03,1.89E+03,0.00E+03,2.22E+03,0.23E+03,1.24E+03,0.00E+03,1.47E+03,0.733E+00,0.739E+00,0.000E+99,0.738E+00,1.973E+03,0.000E+03,1.037E+03,-0.040E+03,0.00000E+00,0.137E+03,0.000E+03,0.123E+03,0.000E+03,1.64E+03,0.00E+03,1.47E+03,0.00E+03,0.745E+00
2022-07-08 01:10:00,0001:10:00,00000000,49.98E+00,232.9E+00,232.9E+00,0.0E+00,223.1E+00,223.1E+00,-118.6E+00,238.9E+00,238.9E+00,120.8E+00,1.04E+00,1.04E+00,-44.0E+00,9.22E+00,8.95E+00,-153.4E+00,1.14E+00,1.08E+00,134.2E+00,0.17E+03,1.62E+03,0.25E+03,2.04E+03,0.24E+03,2.06E+03,0.27E+03,2.57E+03,0.17E+03,1.23E+03,-0.11E+03,1.54E+03,0.715E+00,0.786E+00,-0.915E+00,0.793E+00,2.143E+03,0.000E+03,1.165E+03,-0.040E+03,0.00000E+00,0.170E+03,0.000E+03,0.128E+03,0.000E+03,2.04E+03,0.00E+03,1.54E+03,0.00E+03,0.798E+00
2022-07-08 01:15:00,0001:15:00,00000000,49.97E+00,233.0E+00,233.0E+00,0.0E+00,223.2E+00,223.2E+00,-118.6E+00,238.9E+00,238.9E+00,120.8E+00,1.58E+00,1.57E+00,-42.5E+00,9.30E+00,9.04E+00,-153.2E+00,1.40E+00,1.31E+00,134.6E+00,0.27E+03,1.64E+03,0.30E+03,2.21E+03,0.37E+03,2.08E+03,0.33E+03,2.78E+03,0.25E+03,1.23E+03,-0.14E+03,1.64E+03,0.730E+00,0.789E+00,-0.909E+00,0.796E+00,2.328E+03,0.000E+03,1.302E+03,-0.040E+03,0.00000E+00,0.184E+03,0.000E+03,0.137E+03,0.000E+03,2.21E+03,0.00E+03,1.64E+03,0.00E+03,0.803E+00
2022-07-08 01:20:00,0001:20:00,00000000,49.98E+00,232.9E+00,232.9E+00,0.0E+00,223.3E+00,223.3E+00,-118.6E+00,239.2E+00,239.2E+00,120.8E+00,5.57E+00,5.54E+00,-45.2E+00,8.85E+00,8.57E+00,-156.8E+00,0.00E+00,0.00E+00,-2.4E+00,0.91E+03,1.48E+03,0.00E+03,2.39E+03,1.30E+03,1.98E+03,0.00E+03,3.27E+03,0.93E+03,1.27E+03,0.00E+03,2.21E+03,0.701E+00,0.750E+00,0.000E+99,0.731E+00,2.527E+03,0.000E+03,1.487E+03,-0.040E+03,0.00000E+00,0.199E+03,0.000E+03,0.184E+03,0.000E+03,2.39E+03,0.00E+03,2.21E+03,0.00E+03,0.734E+00
2022-07-08 01:25:00,0001:25:00,00000000,50.00E+00,233.2E+00,233.2E+00,0.0E+00,223.5E+00,223.5E+00,-118.5E+00,239.0E+00,239.0E+00,120.8E+00,0.00E+00,0.00E+00,-2.5E+00,8.34E+00,8.04E+00,-160.2E+00,1.62E+00,1.51E+00,152.2E+00,0.00E+03,1.33E+03,0.31E+03,1.64E+03,0.00E+03,1.86E+03,0.39E+03,2.25E+03,0.00E+03,1.28E+03,-0.23E+03,1.52E+03,0.000E+99,0.715E+00,-0.796E+00,0.729E+00,2.664E+03,0.000E+03,1.613E+03,-0.040E+03,0.00000E+00,0.137E+03,0.000E+03,0.127E+03,0.000E+03,1.64E+03,0.00E+03,1.52E+03,0.00E+03,0.733E+00
2022-07-08 01:30:00,0001:30:00,00000000,50.01E+00,233.2E+00,233.2E+00,0.0E+00,223.4E+00,223.4E+00,-118.6E+00,239.0E+00,239.0E+00,120.8E+00,0.00E+00,0.00E+00,-2.5E+00,9.23E+00,8.97E+00,-153.8E+00,1.41E+00,1.35E+00,133.5E+00,0.00E+03,1.61E+03,0.28E+03,1.89E+03,0.00E+03,2.06E+03,0.34E+03,2.40E+03,0.00E+03,1.24E+03,-0.08E+03,1.44E+03,0.000E+99,0.782E+00,-0.831E+00,0.789E+00,2.821E+03,0.000E+03,1.733E+03,-0.040E+03,0.00000E+00,0.158E+03,0.000E+03,0.120E+03,0.000E+03,1.89E+03,0.00E+03,1.44E+03,0.00E+03,0.797E+00
2022-07-08 01:35:00,0001:35:00,00000000,49.98E+00,233.3E+00,233.2E+00,0.0E+00,223.6E+00,223.5E+00,-118.5E+00,239.2E+00,239.2E+00,120.9E+00,0.00E+00,0.00E+00,-2.4E+00,9.15E+00,8.88E+00,-155.3E+00,0.00E+00,0.00E+00,-2.4E+00,0.00E+03,1.57E+03,0.00E+03,1.57E+03,0.00E+03,2.05E+03,0.00E+03,2.05E+03,0.00E+03,1.27E+03,0.00E+03,1.27E+03,0.000E+99,0.766E+00,0.000E+99,0.766E+00,2.952E+03,0.000E+03,1.839E+03,-0.040E+03,0.00000E+00,0.131E+03,0.000E+03,0.106E+03,0.000E+03,1.57E+03,0.00E+03,1.27E+03,0.00E+03,0.777E+00
2022-07-08 01:40:00,0001:40:00,00000000,50.02E+00,233.2E+00,233.2E+00,0.0E+00,224.0E+00,224.0E+00,-118.5E+00,239.8E+00,239.8E+00,120.8E+00,5.28E+00,5.25E+00,-44.0E+00,8.10E+00,7.81E+00,-162.6E+00,2.53E+00,2.37E+00,152.6E+00,0.88E+03,1.25E+03,0.48E+03,2.61E+03,1.23E+03,1.82E+03,0.61E+03,3.65E+03,0.86E+03,1.31E+03,-0.37E+03,2.55E+03,0.714E+00,0.689E+00,-0.793E+00,0.715E+00,3.169E+03,0.000E+03,2.051E+03,-0.040E+03,0.00000E+00,0.218E+03,0.000E+03,0.212E+03,0.000E+03,2.61E+03,0.00E+03,2.55E+03,0.00E+03,0.716E+00
2022-07-08 01:45:00,0001:45:00,00000000,50.00E+00,232.9E+00,232.9E+00,0.0E+00,223.5E+00,223.4E+00,-118.5E+00,239.4E+00,239.4E+00,120.8E+00,2.00E+00,1.99E+00,-46.2E+00,9.22E+00,8.96E+00,-153.9E+00,0.00E+00,0.00E+00,-2.4E+00,0.32E+03,1.61E+03,0.00E+03,1.93E+03,0.47E+03,2.06E+03,0.00E+03,2.53E+03,0.34E+03,1.24E+03,0.00E+03,1.60E+03,0.688E+00,0.781E+00,0.000E+99,0.764E+00,3.330E+03,0.000E+03,2.184E+03,-0.040E+03,0.00000E+00,0.161E+03,0.000E+03,0.133E+03,0.000E+03,1.93E+03,0.00E+03,1.60E+03,0.00E+03,0.771E+00
2022-07-08 01:50:00,0001:50:00,00000000,50.00E+00,233.0E+00,233.0E+00,0.0E+00,223.6E+00,223.6E+00,-118.4E+00,239.6E+00,239.6E+00,120.9E+00,0.00E+00,0.00E+00,-2.4E+00,6.61E+00,6.32E+00,-157.1E+00,0.55E+00,0.52E+00,140.8E+00,0.00E+03,1.07E+03,0.12E+03,1.19E+03,0.00E+03,1.48E+03,0.13E+03,1.61E+03,0.00E+03,0.99E+03,-0.06E+03,0.79E+03,0.000E+99,0.725E+00,-0.887E+00,0.738E+00,3.429E+03,0.000E+03,2.261E+03,-0.051E+03,0.00000E+00,0.099E+03,0.000E+03,0.077E+03,-0.011E+03,1.19E+03,0.00E+03,0.92E+03,-0.13E+03,0.791E+00
2022-07-08 01:55:00,0001:55:00,00000000,49.99E+00,232.9E+00,232.8E+00,0.0E+00,223.5E+00,223.4E+00,-118.3E+00,239.9E+00,239.9E+00,121.0E+00,0.00E+00,0.00E+00,-2.4E+00,4.22E+00,3.94E+00,-131.9E+00,2.11E+00,1.98E+00,137.5E+00,0.00E+03,0.85E+03,0.45E+03,1.30E+03,0.00E+03,0.94E+03,0.51E+03,1.45E+03,0.00E+03,0.40E+03,-0.22E+03,-0.10E+03,0.000E+99,0.906E+00,-0.886E+00,0.899E+00,3.538E+03,0.000E+03,2.283E+03,-0.081E+03,0.00000E+00,0.109E+03,0.000E+03,0.022E+03,-0.031E+03,1.30E+03,0.00E+03,0.26E+03,-0.37E+03,0.980E+00
2022-07-08 02:00:00,0002:00:00,00000000,50.01E+00,232.7E+00,232.7E+00,0.0E+00,223.3E+00,223.3E+00,-118.3E+00,239.9E+00,239.9E+00,121.0E+00,2.11E+00,2.09E+00,-42.6E+00,4.20E+00,3.92E+00,-131.8E+00,0.00E+00,0.00E+00,-2.4E+00,0.36E+03,0.85E+03,0.00E+03,1.21E+03,0.49E+03,0.94E+03,0.00E+03,1.43E+03,0.34E+03,0.39E+03,0.00E+03,0.75E+03,0.729E+00,0.907E+00,0.000E+99,0.846E+00,3.638E+03,0.000E+03,2.345E+03,-0.081E+03,0.00000E+00,0.101E+03,0.000E+03,0.062E+03,0.000E+03,1.21E+03,0.00E+03,0.75E+03,0.00E+03,0.850E+00
2022-07-08 02:05:00,0002:05:00,00000000,50.00E+00,232.6E+00,232.5E+00,0.0E+00,223.2E+00,223.2E+00,-118.4E+00,240.1E+00,240.1E+00,120.9E+00,5.04E+00,5.01E+00,-45.3E+00,4.20E+00,3.92E+00,-131.8E+00,1.49E+00,1.40E+00,134.5E+00,0.82E+03,0.85E+03,0.33E+03,2.00E+03,1.17E+03,0.94E+03,0.36E+03,2.47E+03,0.84E+03,0.39E+03,-0.14E+03,1.44E+03,0.699E+00,0.907E+00,-0.914E+00,0.809E+00,3.805E+03,0.000E+03,2.465E+03,-0.081E+03,0.00000E+00,0.166E+03,0.000E+03,0.120E+03,0.000E+03,2.00E+03,0.00E+03,1.44E+03,0.00E+03,0.811E+00
2022-07-08 02:10:00,0002:10:00,00000000,50.00E+00,232.9E+00,232.9E+00,0.0E+00,223.3E+00,223.2E+00,-118.3E+00,240.0E+00,240.0E+00,121.0E+00,0.00E+00,0.00E+00,-2.4E+00,4.23E+00,3.95E+00,-131.7E+00,1.07E+00,1.01E+00,134.8E+00,0.00E+03,0.86E+03,0.23E+03,1.09E+03,0.00E+03,0.94E+03,0.26E+03,1.20E+03,0.00E+03,0.40E+03,-0.11E+03,0.50E+03,0.000E+99,0.907E+00,-0.911E+00,0.908E+00,3.896E+03,0.000E+03,2.507E+03,-0.081E+03,0.00000E+00,0.091E+03,0.000E+03,0.042E+03,0.000E+03,1.09E+03,0.00E+03,0.50E+03,0.00E+03,0.908E+00
2022-07-08 02:15:00,0002:15:00,00000000,49.99E+00,233.0E+00,232.9E+00,0.0E+00,223.3E+00,223.3E+00,-118.4E+00,240.0E+00,240.0E+00,121.0E+00,0.00E+00,0.00E+00,-2.4E+00,4.18E+00,3.90E+00,-131.6E+00,0.00E+00,0.00E+00,-2.4E+00,0.00E+03,0.85E+03,0.00E+03,0.85E+03,0.00E+03,0.93E+03,0.00E+03,0.93E+03,0.00E+03,0.39E+03,0.00E+03,0.39E+03,0.000E+99,0.908E+00,0.000E+99,0.908E+00,3.966E+03,0.000E+03,2.540E+03,-0.081E+03,0.00000E+00,0.071E+03,0.000E+03,0.033E+03,0.000E+03,0.85E+03,0.00E+03,0.39E+03,0.00E+03,0.908E+00
2022-07-08 02:20:00,0002:20:00,00000000,50.00E+00,233.0E+00,232.9E+00,0.0E+00,223.4E+00,223.4E+00,-118.4E+00,239.9E+00,239.9E+00,120.9E+00,0.00E+00,0.00E+00,-2.5E+00,4.18E+00,3.90E+00,-131.6E+00,2.56E+00,2.41E+00,134.6E+00,0.00E+03,0.85E+03,0.56E+03,1.41E+03,0.00E+03,0.93E+03,0.61E+03,1.55E+03,0.00E+03,0.39E+03,-0.25E+03,0.64E+03,0.000E+99,0.908E+00,-0.912E+00,0.910E+00,4.083E+03,0.000E+03,2.593E+03,-0.081E+03,0.00000E+00,0.117E+03,0.000E+03,0.054E+03,0.000E+03,1.41E+03,0.00E+03,0.64E+03,0.00E+03,0.910E+00
2022-07-08 02:25:00,0002:25:00,00000000,50.00E+00,232.8E+00,232.8E+00,0.0E+00,223.4E+00,223.4E+00,-118.4E+00,240.5E+00,240.5E+00,120.9E+00,4.61E+00,4.58E+00,-43.9E+00,4.23E+00,3.95E+00,-131.8E+00,0.00E+00,0.00E+00,-2.4E+00,0.77E+03,0.86E+03,0.00E+03,1.62E+03,1.07E+03,0.95E+03,0.00E+03,2.02E+03,0.75E+03,0.40E+03,0.00E+03,1.19E+03,0.716E+00,0.906E+00,0.000E+99,0.805E+00,4.219E+03,0.000E+03,2.692E+03,-0.081E+03,0.00000E+00,0.135E+03,0.000E+03,0.099E+03,0.000E+03,1.62E+03,0.00E+03,1.19E+03,0.00E+03,0.807E+00
2022-07-08 02:30:00,0002:30:00,00000000,50.00E+00,233.0E+00,233.0E+00,0.0E+00,223.4E+00,223.3E+00,-118.4E+00,240.4E+00,240.4E+00,121.0E+00,1.21E+00,1.20E+00,-45.5E+00,4.18E+00,3.90E+00,-131.6E+00,1.37E+00,1.29E+00,134.5E+00,0.20E+03,0.85E+03,0.30E+03,1.34E+03,0.28E+03,0.93E+03,0.33E+03,1.54E+03,0.20E+03,0.39E+03,-0.13E+03,0.74E+03,0.696E+00,0.907E+00,-0.913E+00,0.870E+00,4.331E+03,0.000E+03,2.754E+03,-0.081E+03,0.00000E+00,0.112E+03,0.000E+03,0.062E+03,0.000E+03,1.34E+03,0.00E+03,0.74E+03,0.00E+03,0.876E+00
2022-07-08 02:35:00,0002:35:00,00000000,50.00E+00,233.2E+00,233.2E+00,0.0E+00,223.5E+00,223.5E+00,-118.4E+00,240.4E+00,240.4E+00,121.0E+00,0.00E+00,0.00E+00,-2.4E+00,4.19E+00,3.91E+00,-131.6E+00,1.19E+00,1.11E+00,134.9E+00,0.00E+03,0.85E+03,0.26E+03,1.11E+03,0.00E+03,0.94E+03,0.29E+03,1.22E+03,0.00E+03,0.39E+03,-0.12E+03,0.51E+03,0.000E+99,0.907E+00,-0.908E+00,0.907E+00,4.423E+03,0.000E+03,2.797E+03,-0.081E+03,0.00000E+00,0.092E+03,0.000E+03,0.043E+03,0.000E+03,1.11E+03,0.00E+03,0.51E+03,0.00E+03,0.907E+00
2022-07-08 02:40:00,0002:40:00,00000000,50.00E+00,233.4E+00,233.4E+00,0.0E+00,223.1E+00,223.1E+00,-118.4E+00,240.6E+00,240.5E+00,120.9E+00,0.00E+00,0.00E+00,-2.4E+00,10.92E+00,10.70E+00,-142.3E+00,0.58E+00,0.55E+00,126.3E+00,0.00E+03,2.18E+03,0.13E+03,2.31E+03,0.00E+03,2.44E+03,0.14E+03,2.58E+03,0.00E+03,1.09E+03,-0.04E+03,1.14E+03,0.000E+99,0.894E+00,-0.949E+00,0.897E+00,4.616E+03,0.000E+03,2.892E+03,-0.081E+03,0.00000E+00,0.192E+03,0.000E+03,0.095E+03,0.000E+03,2.31E+03,0.00E+03,1.14E+03,0.00E+03,0.897E+00
2022-07-08 02:45:00,0002:45:00,00000000,50.01E+00,233.3E+00,233.2E+00,0.0E+00,223.4E+00,223.3E+00,-118.4E+00,240.7E+00,240.6E+00,120.9E+00,4.61E+00,4.59E+00,-43.9E+00,9.99E+00,9.74E+00,-149.3E+00,2.15E+00,2.03E+00,126.6E+00,0.77E+03,1.85E+03,0.49E+03,3.10E+03,1.08E+03,2.23E+03,0.52E+03,3.82E+03,0.75E+03,1.21E+03,-0.18E+03,2.19E+03,0.715E+00,0.827E+00,-0.937E+00,0.811E+00,4.874E+03,0.000E+03,3.074E+03,-0.081E+03,0.00000E+00,0.258E+03,0.000E+03,0.183E+03,0.000E+03,3.10E+03,0.00E+03,2.19E+03,0.00E+03,0.817E+00
2022-07-08 02:50:00,0002:50:00,00000000,50.00E+00,233.7E+00,233.7E+00,0.0E+00,223.6E+00,223.6E+00,-118.4E+00,240.6E+00,240.6E+00,120.9E+00,1.37E+00,1.36E+00,-45.6E+00,9.44E+00,9.17E+00,-152.6E+00,0.61E+00,0.60E+00,86.4E+00,0.22E+03,1.67E+03,0.12E+03,2.02E+03,0.32E+03,2.11E+03,0.15E+03,2.58E+03,0.23E+03,1.24E+03,0.08E+03,1.56E+03,0.695E+00,0.794E+00,0.813E+00,0.782E+00,5.042E+03,0.000E+03,3.204E+03,-0.081E+03,0.00000E+00,0.168E+03,0.000E+03,0.130E+03,0.000E+03,2.01E+03,0.00E+03,1.56E+03,0.00E+03,0.792E+00
2022-07-08 02:55:00,0002:55:00,00000000,50.00E+00,234.0E+00,233.9E+00,0.0E+00,223.9E+00,223.9E+00,-118.3E+00,240.3E+00,240.3E+00,120.9E+00,0.00E+00,0.00E+00,-2.4E+00,8.96E+00,8.68E+00,-156.3E+00,3.87E+00,3.76E+00,102.8E+00,0.00E+03,1.51E+03,0.85E+03,2.36E+03,0.00E+03,2.01E+03,0.93E+03,2.94E+03,0.00E+03,1.28E+03,0.37E+03,1.71E+03,0.000E+99,0.753E+00,0.915E+00,0.805E+00,5.239E+03,0.000E+03,3.346E+03,-0.081E+03,0.00000E+00,0.197E+03,0.000E+03,0.142E+03,0.000E+03,2.36E+03,0.00E+03,1.71E+03,0.00E+03,0.811E+00
